Name,Path,SAMAccountName,userPrincipalName,OfficePhone,department,AccountPassword,City,Company,Country,Display Name,EmailAddress,Organization,State
Michelle Votava,"OU=InfoTech,OU=Corp,DC=mw,DC=local",Michelle.Votava,Michelle.Votava@mw.local,555-555-1261,InfoTech,P@ssword,Green Bay,Initech,US,Michelle Votava,Michelle.Votava@mw.local,Initech,WI
Ray Sambroski,"OU=InfoTech,OU=Corp,DC=mw,DC=local",Ray.Sambroski,Ray.Sambroski@mw.local,555-555-1262,InfoTech,P@ssword,Green Bay,Initech,US,Ray Sambroski,Ray.Sambroski@mw.local,Initech,WI
Anne Paper,"OU=InfoTech,OU=Corp,DC=mw,DC=local",Anne.Paper,Anne.Paper@mw.local,555-555-1263,InfoTech,P@ssword,Green Bay,Initech,US,Anne Paper,Anne.Paper@mw.local,Initech,WI
Fukiko Ogisu,"OU=Sales,OU=Corp,DC=mw,DC=local",Fukiko.Ogisu,Fukiko.Ogisu@mw.local,555-555-1264,Sales,P@ssword,Green Bay,Initech,US,Fukiko Ogisu,Fukiko.Ogisu@mw.local,Initech,WI
James Smith,"OU=Sales,OU=Corp,DC=mw,DC=local",James.Smith,James.Smith@mw.local,555-555-1265,Sales,P@ssword,Green Bay,Initech,US,James Smith,James.Smith@mw.local,Initech,WI
Jan Miksovy,"OU=Accounting,OU=Corp,DC=mw,DC=local",Jan.Miksovy,Jan.Miksovy@mw.local,555-555-1266,Accounting,P@ssword,Green Bay,Initech,US,Jan Miksovy,Jan.Miksovy@mw.local,Initech,WI
Jon Morris,"OU=developers,OU=Corp,DC=mw,DC=local",Jon.Morris,Jon.Morris@mw.local,555-555-1267,developers,P@ssword,Green Bay,Initech,US,Jon Morris,Jon.Morris@mw.local,Initech,WI
Judy Lew,"OU=Sales,OU=Corp,DC=mw,DC=local",Judy.Lew,Judy.Lew@mw.local,555-555-1268,Sales,P@ssword,Green Bay,Initech,US,Judy Lew,Judy.Lew@mw.local,Initech,WI
Kim Yoshida,"OU=InfoTech,OU=Corp,DC=mw,DC=local",Kim.Yoshida,Kim.Yoshida@mw.local,555-555-1269,InfoTech,P@ssword,Green Bay,Initech,US,Kim Yoshida,Kim.Yoshida@mw.local,Initech,WI
Laurent Vernhes,"OU=InfoTech,OU=Corp,DC=mw,DC=local",Laurent.Vernhes,Laurent.Vernhes@mw.local,555-555-1270,InfoTech,P@ssword,Green Bay,Initech,US,Laurent Vernhes,Laurent.Vernhes@mw.local,Initech,WI
Luis Bonifaz,"OU=Executive,OU=Corp,DC=mw,DC=local",Luis.Bonifaz,Luis.Bonifaz@mw.local,555-555-1271,Executive,P@ssword,Green Bay,Initech,US,Luis Bonifaz,Luis.Bonifaz@mw.local,Initech,WI
Meng Phua,"OU=Sales,OU=Corp,DC=mw,DC=local",Meng.Phua,Meng.Phua@mw.local,555-555-1272,Sales,P@ssword,Green Bay,Initech,US,Meng Phua,Meng.Phua@mw.local,Initech,WI
Sandra Martinez,"OU=InfoTech,OU=Corp,DC=mw,DC=local",Sandra.Martinez,Sandra.Martinez@mw.local,555-555-1273,InfoTech,P@ssword,Green Bay,Initech,US,Sandra Martinez,Sandra.Martinez@mw.local,Initech,WI
Stefan Knorr,"OU=Sales,OU=Corp,DC=mw,DC=local",Stefan.Knorr,Stefan.Knorr@mw.local,555-555-1274,Sales,P@ssword,Green Bay,Initech,US,Stefan Knorr,Stefan.Knorr@mw.local,Initech,WI
Sunil Koduri,"OU=Sales,OU=Corp,DC=mw,DC=local",Sunil.Koduri,Sunil.Koduri@mw.local,555-555-1275,Sales,P@ssword,Green Bay,Initech,US,Sunil Koduri,Sunil.Koduri@mw.local,Initech,WI
